Year,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
"Congo, Rep.",32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,12,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,36,38,40,42,42,42,42,42,42,42,43,43,43,43,44,44,44,45,45,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,53,54,54,55,55,55,55,55,54,54,53,53,52,52,52,52,46,50,52,53,54,54,55,56,57,57,58,59,60,60,61,61,62,62,63,64,64,65,65,65,65,66,66,66,66,66,67,67,67,67,67,67,68,68,68,68,68,68,68,69,69,69,69,69,69,69,70,70,70,70,70,70,70,71,71,71,71,71,71,71,71,72,72,72,72,72,72,72,72,72,73,73,73,73,73,73,73,73,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,76,76,76,76,76
Colombia,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,30,34,34,34,34,34,34,34,34,34,34,34,34,35,36,36,37,38,38,39,40,41,42,43,44,45,46,47,49,50,51,52,54,54,55,56,57,57,57,57,58,58,59,59,60,60,61,61,62,62,63,64,65,65,65,64,65,66,66,67,68,68,68,69,69,69,70,67,70,70,70,70,71,71,71,71,72,72,72,73,74,74,74,74,73,75,75,76,76,77,77,77,77,78,79,79,79,79,79,80,80,80,77,80,80,80,81,81,81,81,81,81,82,82,82,82,82,83,83,83,83,83,83,84,84,84,84,84,84,85,85,85,85,85,85,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,91,91,91,91,91,91,91
Comoros,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,13,34,34,34,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,37,39,41,42,44,40,45,45,45,45,46,46,46,46,47,47,47,48,48,49,49,50,50,51,51,51,52,52,52,52,53,53,53,54,54,54,55,55,56,56,57,57,57,58,58,58,59,59,59,59,59,60,60,61,61,62,62,63,63,64,64,64,65,64,65,65,66,66,67,67,67,68,68,68,68,69,69,69,69,70,70,70,70,70,70,71,71,71,71,71,72,72,72,72,72,72,72,73,73,73,73,73,73,73,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,76,76,76,76,76,76,76,76,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,79,79,79,79,79,79,79,79,80,80,80
Cape Verde,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,14,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,39,40,42,43,44,45,46,47,49,50,51,52,53,55,56,56,56,56,56,57,57,56,56,57,56,57,58,59,59,60,60,60,59,58,58,57,59,60,61,62,63,64,65,66,66,67,66,66,66,67,68,68,69,69,69,69,69,69,69,68,69,69,69,69,70,70,70,71,71,71,72,73,73,74,74,74,74,74,75,74,74,74,73,73,73,74,74,74,74,74,74,75,75,75,75,75,75,76,76,76,76,76,76,77,77,77,77,77,77,78,78,78,78,78,78,78,79,79,79,79,79,79,80,80,80,80,80,80,81,81,81,81,81,81,82,82,82,82,82,82,82,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,86
Costa Rica,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,32,32,32,33,33,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,31,35,35,36,37,37,38,39,40,40,41,42,43,43,44,44,45,45,46,46,46,47,47,48,49,50,51,52,53,54,55,56,57,59,59,59,61,61,63,62,64,64,65,66,65,65,64,65,66,66,67,66,67,68,68,70,71,71,72,73,74,74,74,75,75,76,75,75,76,76,76,76,76,76,76,77,76,76,77,77,77,77,77,77,78,78,78,79,79,80,80,80,79,80,80,80,80,80,79,79,80,80,78,80,80,80,81,81,81,81,81,81,82,82,82,82,82,82,83,83,83,83,83,83,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90
Cuba,32,32,32,32,32,32,33,33,33,33,33,33,33,34,34,34,34,34,34,34,35,35,35,36,36,36,36,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,35,35,34,33,32,31,30,29,29,29,29,30,30,31,32,33,35,36,37,38,39,40,42,42,43,43,44,45,40,36,32,28,23,23,22,21,20,19,34,35,35,35,36,36,36,36,37,37,37,38,38,38,38,39,39,39,25,40,40,41,41,41,42,42,43,43,44,45,45,46,47,48,48,49,50,51,51,52,53,54,55,55,56,57,59,61,62,64,66,66,66,66,66,67,66,67,67,68,69,68,68,68,70,69,70,70,70,69,70,71,72,72,72,73,73,72,73,73,73,73,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,76,76,76,77,77,77,77,77,77,78,78,78,78,78,79,78,78,78,78,78,78,78,78,78,78,79,79,79,79,79,79,79,80,80,80,80,80,81,81,81,81,81,81,82,82,82,82,82,82,82,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88
Cyprus,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,37,37,37,37,38,39,39,40,40,41,42,42,43,43,44,44,44,44,45,45,45,45,45,46,46,46,25,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,47,48,49,50,50,52,54,55,57,58,60,62,62,62,62,63,63,63,63,64,64,65,65,65,65,66,66,66,67,67,67,67,67,67,68,49,68,69,70,71,71,71,71,71,72,72,73,73,74,74,74,75,75,75,75,75,75,75,75,76,76,76,77,77,77,77,77,78,78,78,79,79,79,80,80,80,80,80,80,80,80,80,81,81,81,81,81,81,82,82,82,82,82,82,82,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90
Czech Republic,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,37,38,39,40,40,41,41,41,42,42,43,43,43,44,44,45,45,46,47,47,48,35,49,49,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,57,58,58,59,58,58,56,51,46,44,57,61,62,63,64,65,66,67,68,68,69,69,69,70,70,70,70,70,70,70,70,70,70,69,69,70,70,70,70,70,70,70,70,70,70,70,71,70,71,71,71,71,71,71,71,72,72,73,73,73,74,74,74,75,75,75,75,75,76,76,77,77,77,77,77,78,78,78,79,79,79,79,79,79,78,79,79,80,80,80,80,80,80,80,81,81,81,81,81,81,81,82,82,82,82,82,82,82,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,89,89,89,89
Germany,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,40,40,40,40,41,41,41,42,42,42,42,43,43,43,44,44,44,45,45,45,46,47,47,48,48,49,50,46,40,38,39,32,48,53,54,55,56,56,57,57,58,58,58,59,59,60,60,60,61,61,61,62,60,60,58,54,49,36,28,60,61,63,64,66,66,67,67,68,68,68,68,69,69,69,69,70,70,70,70,70,70,70,70,70,70,71,71,71,71,72,72,72,73,73,73,73,74,74,74,75,75,75,75,75,75,76,76,76,76,77,77,77,78,78,78,78,78,79,79,79,80,80,80,80,80,80,80,81,80,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,91
Djibouti,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,36,36,14,36,36,36,36,36,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,42,45,48,51,54,54,54,55,55,55,55,55,55,55,56,56,56,57,57,57,57,57,57,58,58,58,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,59,60,60,60,60,60,60,60,60,60,61,61,61,62,62,62,63,63,64,64,64,65,65,66,66,66,66,67,67,67,68,68,68,68,68,69,69,69,69,69,70,70,70,70,70,71,71,71,71,71,71,72,72,72,72,72,72,73,73,73,73,73,73,73,74,74,74,74,74,74,74,75,75,75,75,75,75,75,76,76,76,76,76,76,77,77,77,77,77,77,77,78,78,78,78,78,78,78,79,79,79,79,79,79,79,80,80
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,51,53,54,55,56,57,58,59,60,61,62,62,63,64,65,65,66,66,67,67,68,68,69,69,70,70,71,70,71,71,72,72,72,71,71,71,71,71,71,71,71,71,71,71,71,72,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,72,71,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,37,38,44,44,42,43,43,42,39,39,41,39,36,40,38,42,44,46,46,45,43,39,43,46,44,43,40,41,36,31,34,29,32,36,36,38,39,41,43,41,41,42,42,43,44,43,40,40,40,39,43,44,43,38,44,46,46,42,40,44,45,47,47,47,40,39,43,45,45,46,46,46,47,47,46,44,45,47,47,46,44,48,46,48,48,49,49,48,46,47,47,46,47,47,49,51,53,51,53,50,52,52,54,54,55,54,56,56,55,57,58,57,58,59,58,58,57,57,56,57,57,62,60,61,61,62,61,61,62,62,62,62,63,63,64,63,63,64,65,66,66,66,67,67,66,66,67,68,70,70,70,71,71,71,71,72,72,72,72,72,72,72,72,72,72,72,72,73,73,73,73,73,73,73,74,74,74,74,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,76,76,76,77,77,77,77,78,78,78,78,79,79,79,79,80,80,80,81,81,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,88,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90
Dominican Republic,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,22,34,34,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,37,39,40,41,42,44,45,46,48,49,50,52,53,54,56,57,58,60,60,60,60,61,62,61,61,61,63,63,64,61,64,63,63,64,64,65,65,66,66,67,67,68,69,68,69,69,69,69,70,70,70,70,71,71,72,72,73,73,73,73,73,73,73,73,73,73,73,73,72,72,72,72,73,73,73,73,72,72,72,72,72,72,72,73,72,73,73,73,74,74,74,74,74,74,75,75,75,75,75,75,75,76,76,76,76,76,76,77,77,77,77,77,77,77,78,78,78,78,78,78,79,79,79,79,79,79,79,80,80,80,80,80,80,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84
Algeria,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,20,15,22,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,21,11,15,22,28,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,32,32,32,32,33,27,30,31,31,31,33,35,35,37,34,34,33,33,33,26,33,32,32,32,35,37,38,37,32,36,36,38,36,37,39,38,40,42,40,39,42,42,40,40,34,41,38,41,45,49,52,55,55,56,56,52,53,53,53,52,52,52,51,51,55,56,56,56,56,56,56,56,56,56,56,56,56,57,57,58,58,58,59,60,62,63,64,65,66,66,67,67,67,68,68,68,69,69,69,70,70,71,71,71,72,72,72,73,73,73,74,74,74,74,75,75,75,75,75,76,76,76,76,76,76,77,77,77,77,77,77,78,78,78,78,78,78,79,79,79,79,79,79,80,80,80,80,80,80,80,81,81,81,81,81,81,81,82,82,82,82,82,82,82,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,87
Ecuador,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,30,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,36,37,38,40,41,43,44,46,47,48,50,50,51,52,53,53,54,54,54,55,56,57,57,58,59,59,60,60,60,60,61,62,62,62,63,64,64,65,66,66,67,67,68,68,69,69,70,69,70,71,72,71,72,72,73,73,73,74,74,74,74,75,74,73,73,73,73,73,73,74,74,74,74,75,75,75,75,76,76,76,73,76,77,77,77,77,77,77,78,78,78,78,78,79,79,79,79,79,80,80,80,80,80,80,81,81,81,81,81,81,82,82,82,82,82,82,82,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,88
Egypt,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,26,34,34,34,34,34,34,34,34,34,32,32,37,34,32,34,33,35,33,36,36,38,36,38,32,31,35,34,36,38,38,39,41,41,43,43,44,43,44,44,44,46,46,47,47,49,49,50,50,50,50,50,51,52,52,52,53,54,55,55,56,57,58,58,59,59,60,60,60,61,62,63,63,64,65,65,65,66,66,67,67,67,68,68,68,68,68,68,68,69,69,69,69,69,69,70,70,69,70,70,70,71,71,71,71,71,71,71,72,72,72,72,72,72,72,73,73,73,73,73,73,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,76,76,76,76,76,76,76,77,77,77,77,77,77,77,78,78,78,78,78,78,78,79,79,79,79,79,79,79,79,80,80,80,80,80,80,80,81,81,81,81,81,81,81,82,82,82,82
Eritrea,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,12,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,36,37,38,39,40,40,40,40,40,41,41,41,41,42,42,42,43,38,38,39,39,40,40,40,41,41,42,40,40,41,41,41,42,42,43,43,44,44,44,45,45,46,46,46,47,52,53,53,53,54,54,54,47,54,56,56,57,57,57,58,58,59,59,60,60,60,61,61,62,62,63,63,63,64,64,64,65,65,65,65,66,66,66,67,67,67,67,67,68,68,68,68,68,69,69,69,69,69,69,70,70,70,70,70,70,71,71,71,71,71,71,72,72,72,72,72,72,72,73,73,73,73,73,73,73,74,74,74,74,74,74,74,75,75,75,75,75,75,75,76,76,76,76,76,76,76,77,77,77,77,77,77,77,78
Spain,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,31,31,31,31,32,32,32,33,33,33,34,34,34,35,36,37,38,38,39,40,41,41,40,39,43,42,42,43,44,42,30,41,39,42,44,44,46,46,47,48,48,49,49,49,51,51,52,52,50,47,47,47,48,47,52,54,56,57,57,59,61,61,61,62,64,65,66,66,66,67,68,68,69,69,69,70,70,70,71,71,71,71,72,72,72,72,73,73,74,74,74,75,75,75,76,76,76,76,76,76,76,76,77,77,77,77,78,78,78,78,79,79,79,79,79,80,80,80,81,81,81,81,82,82,82,82,82,82,83,83,83,83,81,83,83,83,83,83,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,91,91,91,91,91,91,91,91,91,92,92,92,92
Estonia,36,35,35,34,34,33,34,34,34,34,34,35,36,36,37,38,39,40,41,42,43,41,40,38,37,35,35,35,35,35,35,36,36,37,38,38,38,38,37,37,36,36,36,35,35,35,34,34,34,34,34,35,36,37,38,39,39,39,39,39,39,37,35,34,32,31,33,35,37,39,41,41,41,41,42,42,41,41,41,40,40,40,40,40,41,41,41,41,41,42,42,42,42,42,42,43,43,43,43,43,43,43,43,44,44,45,45,45,46,46,47,47,47,48,47,44,44,37,35,37,46,52,51,53,54,54,52,50,53,51,54,54,55,56,57,56,56,57,59,58,56,46,55,56,32,49,58,51,63,65,66,66,67,67,67,67,67,68,68,68,69,69,69,70,70,70,70,70,70,70,70,70,70,70,70,70,69,69,69,69,69,69,69,69,69,69,71,71,71,70,70,69,69,68,66,68,70,70,69,70,71,70,71,72,72,73,73,73,74,75,76,76,76,77,77,77,77,77,77,78,77,78,78,78,78,78,79,79,79,79,79,79,79,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87
Ethiopia,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,27,26,27,29,29,29,28,27,26,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,26,25,24,29,29,29,29,29,29,29,29,29,29,29,29,29,27,26,29,29,29,29,29,29,17,5,4,8,14,29,29,29,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,11,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,27,23,29,29,29,28,28,29,29,29,29,30,31,31,32,33,33,33,34,34,35,35,33,31,37,38,39,39,40,40,39,40,42,42,42,43,43,43,41,38,40,44,43,43,44,44,45,45,42,41,46,46,47,47,47,46,48,48,49,49,49,50,50,51,50,51,53,54,55,55,57,58,59,60,61,63,64,64,65,66,66,67,67,68,68,69,69,69,70,70,71,71,71,71,72,72,72,73,73,73,73,73,74,74,74,74,75,75,75,75,75,76,76,76,76,76,76,77,77,77,77,77,77,78,78,78,78,78,78,79,79,79,79,79,79,80,80,80,80,80,80,81,81,81,81,81,81,82,82,82,82,82,82,82,83,83,83,83,83,83,84,84,84,84,84,84
Finland,36,40,39,28,35,39,38,36,12,13,37,30,37,34,35,35,38,38,37,35,37,40,34,38,35,37,38,42,40,36,36,34,28,20,38,37,30,34,40,42,41,41,41,41,42,40,38,40,40,39,37,40,32,33,38,31,30,30,33,38,38,38,34,32,39,35,28,25,8,37,45,46,44,39,39,40,41,39,39,45,39,37,40,42,42,41,41,45,45,45,44,42,39,43,45,47,46,48,48,44,41,42,46,46,47,46,47,47,46,48,48,48,49,49,49,49,48,46,32,43,47,52,52,52,50,53,54,52,53,51,54,55,56,55,56,57,56,57,57,54,46,46,54,56,48,57,60,60,62,62,64,65,66,66,67,67,68,67,68,69,69,69,69,69,69,69,69,70,70,70,70,70,71,71,71,72,72,72,73,73,74,74,74,74,75,74,75,75,75,75,75,75,76,76,76,76,77,77,77,77,78,78,78,78,79,79,79,79,80,80,80,80,80,81,81,81,81,81,81,81,82,82,82,82,82,82,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,91,91,91,91,91
